	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
207	Linear1_Dropout	(0.5,)	6000	50	0.5	0.7	10	0.10601761674880981
208	Linear1_Dropout	(0.5,)	6000	50	0.5	0.7	100	0.10613032913208008
209	Linear1_Dropout	(0.5,)	6000	50	0.5	0.7	250	0.10613032913208008
210	Linear1_Dropout	(0.5,)	6000	50	1.0	0.3	10	0.10680098628997803
211	Linear1_Dropout	(0.5,)	6000	50	1.0	0.3	100	0.10680098128318787
212	Linear1_Dropout	(0.5,)	6000	50	1.0	0.3	250	0.10680098128318787
213	Linear1_Dropout	(0.5,)	6000	50	1.0	0.7	10	0.10611920404434204
214	Linear1_Dropout	(0.5,)	6000	50	1.0	0.7	100	0.10602859687805176
215	Linear1_Dropout	(0.5,)	6000	50	1.0	0.7	250	0.10602859687805176
216	Linear1_Dropout	(0.9,)	600	10	0.5	0.3	10	0.6252618336677551
217	Linear1_Dropout	(0.9,)	600	10	0.5	0.3	100	0.6252609753608703
218	Linear1_Dropout	(0.9,)	600	10	0.5	0.3	250	0.6252609753608703
219	Linear1_Dropout	(0.9,)	600	10	0.5	0.7	10	0.29935110569000245
220	Linear1_Dropout	(0.9,)	600	10	0.5	0.7	100	0.29325748383998873
221	Linear1_Dropout	(0.9,)	600	10	0.5	0.7	250	0.29325748383998873
222	Linear1_Dropout	(0.9,)	600	10	1.0	0.3	10	0.19555776745080947
223	Linear1_Dropout	(0.9,)	600	10	1.0	0.3	100	0.19555743783712387
224	Linear1_Dropout	(0.9,)	600	10	1.0	0.3	250	0.19555743783712387
225	Linear1_Dropout	(0.9,)	600	10	1.0	0.7	10	0.16164262890815734
226	Linear1_Dropout	(0.9,)	600	10	1.0	0.7	100	0.16165274798870086
227	Linear1_Dropout	(0.9,)	600	10	1.0	0.7	250	0.16165274798870086
228	Linear1_Dropout	(0.9,)	600	20	0.5	0.3	10	0.16198932409286498
